Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
113,173.371158,-34.913977,-1.32,-1.32,8.434611,1,4,19.461588,,,,,,,
114,173.377662,-34.931282,-1.32,-1.32,7.823066,1,4,18.075718,,,,,,,
115,173.386778,-34.947475,-1.32,-1.32,7.491234,1,4,17.061622,,,,,,,
116,173.39854,-34.960892,-1.32,-1.32,7.405321,1,4,16.619572,,,,,,,
117,173.414271,-34.974902,-1.32,-1.32,7.329376,1,4,16.61047,,,,,,,
118,173.427904,-34.98428,-1.32,-1.32,7.486659,1,4,16.98974,,,,,,,
119,173.410868,-34.983317,-1.32,-1.32,7.017791,1,4,15.785563,,,,,,,
120,173.424974,-34.986862,-1.32,-1.32,7.264982,1,4,16.607478,,,,,,,
121,173.438802,-34.985011,-1.32,-1.32,7.933065,1,4,17.782156,,,,,,,
122,173.452442,-34.984685,-1.32,-1.32,8.259432,1,4,18.870141,,,,,,,
123,173.465615,-34.993119,-1.32,-1.32,8.230325,1,4,19.495026,,,,,,,
124,173.46114,-35.001802,-1.32,-1.32,7.940931,1,4,18.719226,,,,,,,
125,173.457554,-35.009328,-1.32,-1.32,7.814864,1,4,18.094246,,,,,,,
126,173.463583,-35.002417,-1.32,-1.32,8.245257,1,4,18.896682,,,,,,,
127,173.468012,-35.021735,-1.32,-1.32,7.964486,1,4,18.544824,,,,,,,
128,173.468012,-35.021735,-1.32,-1.32,7.964486,1,4,18.544824,,,,,,,
129,173.478059,-35.02118,-1.32,-1.32,8.248734,1,4,19.442493,,,,,,,
130,173.471329,-35.0084,-1.32,-1.32,8.345091,1,4,19.304892,,,,,,,
131,173.471131,-34.997159,-1.32,-1.32,8.621701,1,4,19.762686,,,,,,,
132,173.478157,-34.990039,-1.32,-1.32,8.773502,1,4,20.676476,,,,,,,
133,173.495784,-34.991932,-1.32,-1.32,9.348302,1,4,22.059556,,,,,,,
134,173.507762,-34.990134,-1.32,-1.32,9.694131,1,4,23.145952,,,,,,,
135,173.529639,-34.989679,-1.32,-1.32,10.390875,1,4,25.02237,,,,,,,
136,173.529639,-34.989679,-1.32,-1.32,10.390875,1,4,25.02237,,,,,,,
137,173.535571,-34.997677,-1.32,-1.32,10.480247,1,4,25.233541,,,,,,,
138,173.543654,-35.016014,-1.32,-1.32,10.440545,1,4,25.380295,,,,,,,
139,173.543654,-35.016014,-1.32,-1.32,10.440545,1,4,25.380295,,,,,,,
140,173.550858,-35.021148,-1.32,-1.32,10.624719,1,4,25.89548,,,,,,,
141,173.565855,-35.032286,-1.196271,-1.196271,1.463383,5,4,36.257889,,,,,,,
142,173.573491,-35.030149,-1.201823,-1.201823,1.689787,6,4,36.937513,,,,,,,
143,173.556022,-35.023745,-1.197938,-1.197938,1.727924,4,4,36.391291,,,,,,,
144,173.560325,-35.013771,-1.32,-1.32,10.938718,1,4,26.918439,,,,,,,
145,173.557082,-35.003105,-1.32,-1.32,11.065671,1,4,26.93163,,,,,,,
146,173.559308,-34.989146,-1.32,-1.32,11.322242,1,4,27.591178,,,,,,,
147,173.550425,-34.977987,-1.32,-1.32,11.023059,1,4,27.264788,,,,,,,
148,173.539636,-34.98011,-1.32,-1.32,11.011734,1,4,26.262832,,,,,,,
149,173.532037,-34.979418,-1.32,-1.32,10.682229,1,4,25.651897,,,,,,,
150,173.537529,-34.972901,-1.32,-1.32,10.722648,1,4,26.401604,,,,,,,
151,173.530937,-34.959964,-1.32,-1.32,10.778174,1,4,26.484795,,,,,,,
152,173.526329,-34.948261,-1.32,-1.32,10.91842,1,4,26.7457,,,,,,,
153,173.535933,-34.938928,-1.32,-1.32,11.5761,1,4,28.032053,,,,,,,
154,173.545778,-34.934113,-1.32,-1.32,11.84669,1,4.333333,29.079654,,,,,,,
155,173.556745,-34.929283,-1.32,-1.32,12.146254,1,4.333333,30.2159,,,,,,,
156,173.557685,-34.916782,-1.32,-1.32,12.401876,1,4.333333,31.03122,,,,,,,
157,173.565042,-34.922072,-1.32,-1.32,12.79109,1,4.333333,31.282025,,,,,,,
158,173.570655,-34.929549,-1.32,-1.32,12.527204,1,4.333333,31.296148,,,,,,,
159,173.572955,-34.936693,-1.32,-1.32,12.534191,1,4.333333,31.0917,,,,,,,
160,173.580765,-34.942914,-1.32,-1.32,12.807599,1,4.333333,31.403578,,,,,,,
161,173.590839,-34.937112,-1.32,-1.32,13.17577,1,4.333333,32.516934,,,,,,,
162,173.604685,-34.936861,-1.32,-1.32,13.547715,1,4.333333,33.661481,,,,,,,
163,173.616984,-34.938637,-1.32,-1.32,13.982559,1,4.333333,34.590515,,,,,,,
164,173.623596,-34.947655,-1.32,-1.32,14.026116,1,4.333333,34.733636,,,,,,,
165,173.62714,-34.949636,-1.32,-1.32,13.959897,1,4.333333,34.946747,,,,,,,
166,173.638506,-34.953946,-1.32,-1.32,14.239448,1,4.333333,35.732125,,,,,,,
167,173.642417,-34.963938,-1.32,-1.32,14.31108,1,4.333333,35.682536,,,,,,,
168,173.656408,-34.966025,-1.32,-1.32,14.748208,1,4.333333,36.817541,,,,,,,
169,173.669678,-34.961657,-1.32,-1.32,14.930098,1,4.333333,38.121234,,,,,,,
170,173.677906,-34.952091,-1.32,-1.32,15.36593,1,4.333333,39.1789,,,,,,,
171,173.711016,-34.989012,0.897564,0.897564,2.195161,23,4.333333,39.145808,,,,,,,
172,173.723237,-34.99631,0.770256,0.770256,2.174941,55,4.333333,38.999093,,,,,,,
173,173.740684,-34.995243,0.476308,0.476308,2.282192,65,4.333333,38.77902,,,,,,,
174,173.756408,-34.999539,0.149867,0.149867,2.273818,74,4.333333,38.091574,,,,,,,
175,173.750654,-35.005491,0.05184,0.05184,1.971758,93,4.333333,38.056695,,,,,,,
176,173.735615,-35.002094,0.332119,0.332119,2.249505,70,4.333333,38.323143,,,,,,,
177,173.732471,-35.00602,0.290691,0.290691,2.167044,82,4.333333,38.279161,,,,,,,
178,173.724145,-35.008583,0.237192,0.237192,2.208632,87,4.333333,38.363904,,,,,,,
179,173.728227,-35.013369,0.210076,0.210076,2.283416,91,4.333333,37.826891,,,,,,,
180,173.741017,-35.013014,0.03344,0.03344,2.244153,124,4,38.09378,,,,,,,
181,173.745508,-35.018895,0.003489,0.003489,1.908009,157,4,37.820741,,,,,,,
182,173.744697,-35.027769,0.078218,0.078218,2.219246,186,4,37.379583,,,,,,,
